Vehicle ID,Location,Destination,Weather Condition,Traffic Condition,Construction Update,Temperature,Humidity,Estimated Arrival Time,Route Efficiency Score
V000,"47.0778075, 40.887844","17.6791365, -118.877993",Sunny,Light,TRUE,5.177682314799153,0.16966348160857667,00:45.5,8.45
V001,"-6.3346565, -113.834557","-36.095667, -109.338597",Sunny,Moderate,TRUE,16.666619862915606,0.9595816056191907,54:00.2,9.54
V002,"-6.529270, -103.546206","-13.5673465, 175.424032",Rainy,Light,FALSE,23.247132022539873,0.890081034,21:56.6,7.73
V003,"53.139922, -106.054872","-6.8980045, -39.332093",Rainy,Light,TRUE,3.406279040619367,0.7978052215518423,33:43.3,3.65
V004,"22.1639605, -169.448015","27.0208975, 178.980735",Cloudy,Light,TRUE,-9.336039068,0.1772004211443023,52:04.4,7.75
V005,"33.387828, 161.669280","-27.462435, -91.691770",Cloudy,Heavy,TRUE,21.390115806561653,0.24962992348943466,10:18.5,1.27
V006,"-4.4911235, 64.911765","85.719799, -176.891987",Cloudy,Light,FALSE,4.266886280134107,0.6041524659234396,20:23.2,2.31
V007,"-60.407357, -120.027292","-44.864330, 124.998422",Rainy,Heavy,FALSE,9.237512380864679,0.7767314897127889,48:20.4,4.34
V008,"-65.417149, -153.369342","35.568573, 86.619530",Rainy,Light,FALSE,3.486258242696577,0.6410033348841053,38:27.5,2.98
V009,"3.659723, 69.875634","-69.0465985, -86.841599",Snowy,Moderate,TRUE,8.550795149891151,0.7955114338841581,04:09.2,8.42
V010,"-35.388369, 116.191440","-20.1979185, -64.871378",Sunny,Light,FALSE,-7.664284249,0.4429636904566512,02:33.7,2.11
V011,"30.697757, 162.548635","18.7485785, 65.541814",Cloudy,Heavy,FALSE,21.891318280530783,0.9839730224391785,28:42.0,8.05
V012,"12.2607245, 42.251371","-64.6693735, -137.214549",Sunny,Moderate,TRUE,4.810490110092106,0.5958739731128257,07:15.7,7.38
V013,"8.705407, 127.933095","-56.948506, 144.935717",Rainy,Moderate,TRUE,33.535101216911485,0.30299321187854944,02:10.4,9.59
V014,"-28.120379, -95.272439","88.774510, 71.608851",Rainy,Light,TRUE,16.519799060332403,0.12147551608299874,39:17.4,3.85
V015,"-84.778380, -175.066876","43.918537, 59.773248",Sunny,Heavy,FALSE,26.751990849269397,0.5060642859599932,27:15.8,0.16
V016,"-16.435142, -158.510375","-77.991161, 162.032300",Sunny,Moderate,TRUE,6.638639923168316,0.5280685209581267,01:59.4,5.23
V017,"15.6508775, -168.160166","58.208643, -176.941378",Sunny,Moderate,TRUE,8.449574167,0.5797908661047649,35:45.7,0.68
V018,"13.2932115, 169.552631","-69.339876, -58.468291",Rainy,Heavy,FALSE,17.261241675466703,0.4790469097146093,23:33.1,8.31
V019,"20.0310775, -49.361911","-13.348034, -79.533880",Snowy,Light,TRUE,13.944305246589206,0.8870480415787654,59:13.3,5.07
V020,"-85.369543, -162.964140","71.475782, 148.070322",Cloudy,Moderate,TRUE,9.642949778,0.9494873564778475,01:14.9,7.12
V021,"-30.414362, -107.520046","76.783340, 90.432236",Rainy,Heavy,FALSE,33.321905839861735,0.6860610950119249,11:10.5,9.3
V022,"79.9679935, 131.602958","33.042233, -115.540736",Cloudy,Moderate,FALSE,8.803328395072032,0.32286623969866834,15:28.4,5.74
V023,"-20.6069535, -50.120446","-47.703367, 74.054870",Cloudy,Moderate,TRUE,-3.271252112,0.4703291035504408,39:57.0,4.72
V024,"-59.1444165, 9.568290","16.880971, -101.342348",Sunny,Heavy,FALSE,21.926452962552077,0.5616241724491445,30:44.4,9.75
V025,"67.1459355, 150.707612","3.6923845, -114.730917",Snowy,Light,TRUE,9.116782058397593,0.9004174629620166,50:30.5,9.01
V026,"31.808069, -76.864777","-7.157810, -50.498876",Snowy,Light,TRUE,32.35640180264288,0.9160528746410003,51:39.1,2.34
V027,"49.6529905, 133.555646","-59.0915605, -4.198087",Sunny,Moderate,TRUE,-1.806972414,0.35004834584927835,50:25.8,3.82
V028,"11.551863, 57.098929","-71.4944685, 40.402875",Sunny,Heavy,FALSE,31.013739525515284,0.4423105176124341,09:17.6,0.6
V029,"89.364432, 37.170511","2.601506, 175.560666",Cloudy,Moderate,FALSE,-2.05720135,0.677717935,48:59.6,5.41
V030,"-49.755116, 49.628413","81.436502, 135.351276",Cloudy,Light,FALSE,-3.945440867,0.4565388930061185,46:59.9,5.3
V031,"20.6840765, -101.223052","6.099186, 104.409810",Cloudy,Light,FALSE,6.1932317723751815,0.11162668162787058,11:49.0,2.95
V032,"77.736434, -38.023471","-85.260234, 174.126606",Sunny,Moderate,TRUE,28.425975579543504,0.12536939731595456,52:22.5,5.71
V033,"-31.3176975, 128.951048","52.118502, 77.176453",Rainy,Light,FALSE,4.926554218945489,0.3071683778782279,56:59.2,6.56
V034,"33.8413535, 67.531315","84.324492, 163.182129",Rainy,Moderate,TRUE,34.98494225,0.6246306334399178,51:28.4,2.68
V035,"55.151075, -96.045644","7.2962785, 112.935731",Rainy,Moderate,TRUE,23.890936755937695,0.8516901846786609,38:46.4,1.06
V036,"-83.2124265, 100.191806","-38.733470, 174.863363",Rainy,Moderate,FALSE,19.12498099703794,0.48587742119944655,21:39.9,8.34
V037,"-85.0673885, -46.025902","-80.7619015, -115.774545",Cloudy,Heavy,FALSE,21.939947936542666,0.22012429976011472,23:48.5,1.44
V038,"-75.644161, -65.190418","43.454823, 62.520861",Rainy,Moderate,TRUE,1.2487750756730591,0.5799907399947645,30:09.4,0.33
V039,"-36.603003, -105.530248","50.733045, -36.812696",Snowy,Light,TRUE,14.084154835393637,0.6387497544532671,27:00.3,0.64
V040,"13.8589385, 162.762040","21.2363385, 67.425301",Sunny,Light,TRUE,7.768063929969706,0.507443052,55:34.0,7.86
V041,"65.5824665, -23.969851","6.894268, 122.702599",Cloudy,Light,FALSE,-7.646000936,0.3822589174034886,13:16.9,7.88
V042,"-72.1610835, -14.497108","-40.1506405, -7.551817",Cloudy,Heavy,FALSE,-9.039361191,0.3930529024782544,33:26.8,5.82
V043,"3.652347, 84.239517","12.4339585, 65.842855",Rainy,Light,TRUE,29.586703800423358,0.4166194483536625,00:55.4,5.58
V044,"-69.275663, -82.215561","62.3199395, -136.671623",Snowy,Moderate,TRUE,13.839021211883573,0.6273576234662565,09:15.3,6.13
V045,"25.629896, 49.423143","47.3188005, -37.395579",Snowy,Heavy,TRUE,32.65790127704156,0.8532752000532154,46:39.5,1.14
V046,"-31.2293365, 47.738776","9.370712, 133.364127",Cloudy,Moderate,FALSE,-7.599748527,0.37784221009087016,15:32.5,3.43
V047,"-17.6311575, -45.234272","-0.928016, 56.421596",Rainy,Heavy,FALSE,15.903648723093369,0.10895994353094392,33:15.2,7.13
V048,"9.6224425, 177.221769","-68.364948, 162.222892",Snowy,Heavy,FALSE,33.144896168788115,0.950156061,28:16.5,8.94
V049,"-14.081498, -38.394169","65.558830, 61.588959",Snowy,Moderate,FALSE,15.160015940692087,0.9474281511961121,50:08.0,4
V050,"73.5854595, -122.608384","-79.9027335, 127.484016",Cloudy,Heavy,FALSE,-5.1919041,0.7209644448941709,19:52.5,8.74
V051,"63.082167, 88.288330","-69.9520625, -168.951991",Sunny,Heavy,TRUE,-1.204649904,0.8407084502585588,37:57.3,8.69
V052,"-24.0737275, -124.667614","51.6807725, -118.815030",Sunny,Moderate,FALSE,14.203532910230066,0.2847333872390686,34:44.2,8.07
V053,"-17.6334375, -81.738924","-25.0911005, -90.825637",Snowy,Heavy,FALSE,-9.015418151,0.21697380732216595,30:18.9,6.99
V054,"-19.8700785, -104.342885","-30.6629005, -3.178452",Rainy,Light,TRUE,-2.913314316,0.15014919813943856,58:05.9,6.23
V055,"15.938156, -42.728930","-25.601222, -70.402811",Sunny,Heavy,FALSE,28.97987335872869,0.2997171095368599,48:04.1,7.22
V056,"-51.849265, -54.270619","27.5609885, -125.792464",Sunny,Heavy,TRUE,29.336669343387662,0.178669504,28:12.2,3.43
V057,"-42.707902, -152.084516","62.3128495, -161.525340",Rainy,Heavy,TRUE,-8.314048567,0.5556094544026562,06:14.7,9.46
V058,"4.903362, -36.945738","4.717786, 98.299175",Snowy,Heavy,FALSE,-4.326970429,0.3524946757565288,11:33.7,4.21
V059,"-18.7897275, -174.056867","-6.7020425, 32.978632",Rainy,Heavy,FALSE,-4.119631425,0.6447615302618306,13:27.0,6.69
V060,"-33.233251, -59.984359","-7.2416065, -69.460632",Rainy,Moderate,TRUE,33.057183133415876,0.9696848039480186,01:32.1,3.12
V061,"11.3827235, 130.031256","48.684616, 70.107497",Rainy,Moderate,TRUE,18.90277436735455,0.9774145847514999,25:24.8,4.29
V062,"-88.219450, 128.278763","-53.9170925, -126.183459",Sunny,Heavy,TRUE,4.477572342579133,0.5022231409768582,32:37.5,3.44
V063,"7.562368, 140.079048","52.474865, -122.846528",Sunny,Moderate,TRUE,29.686301715258203,0.5206440619807428,40:49.9,0.21
V064,"-65.3676355, -15.403820","-40.7479455, 165.702675",Sunny,Moderate,FALSE,27.820477171330715,0.11660142061554474,07:41.9,5.31
V065,"-77.841438, -162.394980","56.7152085, -97.173020",Rainy,Heavy,FALSE,21.788508467741362,0.9350957011088985,20:39.5,2.38
V066,"-79.3737175, -47.470716","2.240678, -13.503841",Sunny,Light,TRUE,34.68406457554004,0.6970052159539671,51:05.0,3.7
V067,"-70.540564, 139.103802","57.1656545, 103.123865",Cloudy,Light,TRUE,3.5461130673013095,0.31553577899077057,56:09.8,0.47
V068,"29.019416, 32.408593","1.9285325, -70.174403",Sunny,Heavy,FALSE,8.262677203528739,0.2682882772645338,10:02.0,2.29
V069,"42.8356395, -75.762737","2.946260, 159.998338",Snowy,Moderate,TRUE,14.123179205825256,0.5229578784387603,27:07.3,0.87
V070,"-70.0141605, 52.359703","-55.2298665, 19.190102",Sunny,Moderate,TRUE,23.496852584123687,0.7318954309952203,11:34.6,3.95
V071,"65.4068495, -38.086435","-38.2936745, -13.899483",Cloudy,Light,TRUE,3.463385753542264,0.15320651197935306,08:10.7,5.95
V072,"83.119024, -60.853430","34.017321, 65.632531",Sunny,Heavy,FALSE,-8.3722409,0.5988268119834147,23:52.2,5.22
V073,"-61.9318725, -69.317674","-21.4036085, -167.619954",Snowy,Heavy,FALSE,9.378025667179088,0.8603512165541868,18:19.9,1.97
V074,"1.2139375, 124.096830","-2.412771, 71.180439",Cloudy,Heavy,FALSE,16.888961430140036,0.4843768789551167,35:08.2,8.04
V075,"-84.244075, 0.967009","46.003393, 102.844742",Snowy,Heavy,FALSE,32.783422389086844,0.2081523828871178,07:38.6,8.09
V076,"51.751068, 103.615439","46.672612, -159.314902",Cloudy,Moderate,FALSE,29.697257588736235,0.606865257,33:21.7,6.63
V077,"-28.2311845, -53.730210","76.5272445, -174.945970",Snowy,Moderate,FALSE,2.4188476366054026,0.23885179782513405,44:47.9,9.75
V078,"63.830116, -6.571965","46.659320, -17.281455",Cloudy,Moderate,TRUE,33.21652167980758,0.2279624047376292,53:53.5,8.07
V079,"62.968006, 118.114731","68.484417, 87.262612",Snowy,Moderate,TRUE,9.609758274058954,0.4772987523506218,27:49.5,7.99
V080,"-37.2451105, -149.194437","81.726735, -12.400534",Snowy,Light,TRUE,7.698203514481392,0.7422875318683565,17:12.3,9.91
V081,"38.193839, 27.159724","27.3547135, 25.948790",Cloudy,Heavy,FALSE,12.908011692032613,0.3234122922871021,08:24.4,3.23
V082,"-22.540252, 169.713868","87.8518785, -152.967718",Cloudy,Light,FALSE,31.170856852106446,0.21738472228960387,44:06.6,0.94
V083,"-67.007091, 136.058762","27.0333165, -165.460271",Snowy,Light,TRUE,32.94901987027362,0.598453131,46:31.2,3.67
V084,"33.948099, 74.808304","-81.0005105, -169.032062",Rainy,Moderate,TRUE,26.898029065943362,0.3831050080246229,30:41.7,8.83
V085,"43.458138, -159.492082","82.4999385, 117.550743",Sunny,Light,FALSE,30.439696176932436,0.22222201353054263,23:07.7,4.52
V086,"-2.2040015, 169.435524","17.5842125, -103.650798",Sunny,Heavy,TRUE,-8.160522532,0.3079376216564819,38:49.8,0.35
V087,"23.5068795, 176.603097","-80.2599405, -85.781118",Cloudy,Moderate,TRUE,7.502530389,0.6099694765472701,04:59.8,6.82
V088,"-13.3123855, -64.396263","83.484649, 75.988502",Sunny,Light,FALSE,20.278696721714343,0.4065500755089442,45:24.5,2.46
V089,"38.1275995, 102.546755","52.407851, -72.311514",Rainy,Heavy,TRUE,20.783392715139684,0.5415269646784916,05:48.3,2.06
V090,"-38.8478245, 61.757513","49.3973585, 29.140861",Cloudy,Light,TRUE,-5.145492569,0.9860251866595652,24:42.1,5.71
V091,"-79.0634615, 158.070261","-9.7390855, 123.679762",Sunny,Heavy,FALSE,14.19355149482837,0.5779176210114849,28:56.5,7.56
V092,"50.7218565, 25.739780","-19.1796845, 161.954147",Rainy,Light,TRUE,19.29390564552859,0.10725272433270887,02:42.2,0.73
V093,"20.2201565, -94.067641","-50.700094, -112.724113",Cloudy,Light,FALSE,-0.496709597,0.3860879591101348,25:50.1,8.88
V094,"-71.050763, 172.318858","-10.6060405, 45.619761",Cloudy,Moderate,TRUE,26.30796165012498,0.8416631725352297,14:27.8,0.26
V095,"63.1919895, -56.302972","-31.6355475, -11.032871",Cloudy,Heavy,TRUE,22.907709030387075,0.7523752670117542,26:34.5,0.14
V096,"-44.7015855, -151.838620","15.847524, 99.905549",Cloudy,Moderate,TRUE,24.760966416057954,0.2752274943008891,58:08.0,7.21
V097,"-47.8235855, 28.949172","-33.590333, -17.931445",Rainy,Moderate,FALSE,-0.704993221,0.19132907532033527,31:31.3,7.82
V098,"-28.054797, 30.329140","-49.470546, -97.399968",Rainy,Heavy,TRUE,2.013141896641894,0.7435761641568258,33:45.2,6.92
V099,"-81.5005855, 159.801608","-16.3342085, 142.540817",Snowy,Moderate,TRUE,24.422197222322303,0.507139943,11:46.8,8.59
